description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1981,115000,2,1,3,2,82,1,1,0,0,143,0,0,18
1969,575000,3,1,1,7,36,0,0,0,0,266,0,1,58
2017,401000,4,2,3,4,36,1,1,0,1,179,0,1,18
2014,400000,2,2,1,3,37,1,1,0,0,332,2,1,58
1924,315000,2,1,2,3,49,0,1,1,1,254,1,1,54
1995,465000,3,2,2,3,63,1,1,1,1,198,1,1,28
1973,174632,1,1,2,2,36,1,1,0,0,202,1,0,16
2019,359500,2,2,1,4,77,0,0,1,0,172,0,1,36
2003,250000,3,1,2,3,91,1,1,1,0,156,0,2,7
1985,375000,2,1,1,3,62,0,1,1,0,349,2,1,49
1965,335000,1,1,1,1,66,0,0,0,1,712,0,0,8
1947,263000,2,1,1,4,34,1,0,0,1,187,1,1,57
1920,145000,1,1,1,2,115,1,0,1,1,182,0,1,13
1976,375000,3,1,1,4,109,0,1,1,0,181,1,1,0
2003,349000,3,2,1,3,41,1,1,1,1,143,0,2,34
1964,115500,2,1,1,3,102,1,0,1,1,52,1,1,10
1979,430000,3,3,1,3,59,0,0,1,1,187,2,1,58
2008,725000,4,1,3,3,126,1,1,1,0,290,1,2,53
1974,999999,2,1,2,2,24,1,0,1,0,718,8,0,3
1925,589000,2,1,1,5,90,0,1,0,1,325,0,1,8
1950,599000,2,2,2,4,75,0,0,1,1,244,1,1,52
2000,290000,3,2,1,3,42,0,1,0,1,140,2,1,22
2021,780000,3,2,1,3,98,0,1,1,1,283,6,1,39
1954,135000,1,1,1,3,91,0,0,0,0,120,0,1,36
1920,295000,1,1,1,1,75,1,1,0,0,307,6,0,54
2018,226000,3,1,2,4,116,0,0,0,0,165,0,2,7
1959,350000,2,2,1,3,32,1,1,1,1,176,3,1,39
1922,130000,2,1,2,3,35,1,1,0,1,96,0,1,32
1923,138000,2,1,2,3,57,1,1,0,1,76,0,1,32
1976,135000,1,1,1,2,25,1,1,0,0,187,0,2,34
1928,327500,2,2,2,4,41,1,1,1,1,162,1,1,47
2008,390000,2,2,1,2,151,1,1,0,0,286,1,0,7
1900,220000,1,1,1,0,69,0,1,0,1,279,0,1,57
2005,299500,3,2,2,4,79,0,1,1,0,121,0,1,22
1982,235000,2,1,1,4,160,0,0,0,1,171,0,1,29
1998,205000,2,1,1,3,47,0,0,1,0,112,1,1,36
2005,270000,3,1,3,3,139,0,1,1,0,165,0,0,53
1988,123000,2,1,1,2,162,1,1,0,1,126,1,0,29
1923,999999,2,1,4,2,33,1,1,1,1,734,8,2,3
1989,540000,2,2,1,3,29,0,0,1,0,358,5,1,50
1984,238000,2,1,2,2,66,1,0,1,0,224,0,2,53
2003,400000,2,1,1,3,74,1,1,1,0,193,1,1,5
1972,527500,1,2,1,2,49,1,1,1,0,492,1,1,56
1981,259900,2,2,2,3,38,0,0,1,0,168,1,1,36
1970,236000,2,1,1,3,167,1,0,1,0,91,0,1,62
1992,295000,2,2,1,3,19,1,1,1,1,158,0,1,34
1956,495000,2,2,1,3,16,0,1,1,0,347,2,1,49
1966,74250,2,2,1,5,105,0,0,0,1,22,0,1,10
1926,203000,1,2,1,3,62,0,0,0,1,150,1,1,57
1980,525000,2,2,1,3,53,0,0,1,0,248,5,1,50
2019,825000,4,3,2,5,64,0,0,0,0,267,0,1,50
2006,331500,3,2,2,3,36,0,1,0,1,153,0,1,40
1979,340000,2,2,1,2,126,0,0,0,0,294,1,1,24
1946,380000,1,2,2,2,80,0,1,1,0,311,5,1,58
1942,315000,1,1,1,2,94,1,0,0,0,278,0,1,56
