description.year_built,description.garage,description.stories,description.beds,dishwasher,fireplace,basement,hardwood_floors,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded,state_encoded,description.year_built^2,description.year_built description.garage,description.year_built description.stories,description.year_built description.beds,description.year_built dishwasher,description.year_built fireplace,description.year_built basement,description.year_built hardwood_floors,description.year_built price_per_sqft,description.year_built median_value_per_sqft,description.year_built description.type_encoded,description.year_built city_encoded,description.year_built state_encoded,description.garage^2,description.garage description.stories,description.garage description.beds,description.garage dishwasher,description.garage fireplace,description.garage basement,description.garage hardwood_floors,description.garage price_per_sqft,description.garage median_value_per_sqft,description.garage description.type_encoded,description.garage city_encoded,description.garage state_encoded,description.stories^2,description.stories description.beds,description.stories dishwasher,description.stories fireplace,description.stories basement,description.stories hardwood_floors,description.stories price_per_sqft,description.stories median_value_per_sqft,description.stories description.type_encoded,description.stories city_encoded,description.stories state_encoded,description.beds^2,description.beds dishwasher,description.beds fireplace,description.beds basement,description.beds hardwood_floors,description.beds price_per_sqft,description.beds median_value_per_sqft,description.beds description.type_encoded,description.beds city_encoded,description.beds state_encoded,dishwasher^2,dishwasher fireplace,dishwasher basement,dishwasher hardwood_floors,dishwasher price_per_sqft,dishwasher median_value_per_sqft,dishwasher description.type_encoded,dishwasher city_encoded,dishwasher state_encoded,fireplace^2,fireplace basement,fireplace hardwood_floors,fireplace price_per_sqft,fireplace median_value_per_sqft,fireplace description.type_encoded,fireplace city_encoded,fireplace state_encoded,basement^2,basement hardwood_floors,basement price_per_sqft,basement median_value_per_sqft,basement description.type_encoded,basement city_encoded,basement state_encoded,hardwood_floors^2,hardwood_floors price_per_sqft,hardwood_floors median_value_per_sqft,hardwood_floors description.type_encoded,hardwood_floors city_encoded,hardwood_floors state_encoded,price_per_sqft^2,price_per_sqft median_value_per_sqft,price_per_sqft description.type_encoded,price_per_sqft city_encoded,price_per_sqft state_encoded,median_value_per_sqft^2,median_value_per_sqft description.type_encoded,median_value_per_sqft city_encoded,median_value_per_sqft state_encoded,description.type_encoded^2,description.type_encoded city_encoded,description.type_encoded state_encoded,city_encoded^2,city_encoded state_encoded,state_encoded^2,description.sold_price
1958.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,95.0,0.0,1.0,12.0,23.0,3833764.0,3916.0,1958.0,5874.0,0.0,1958.0,0.0,0.0,186010.0,0.0,1958.0,23496.0,45034.0,4.0,2.0,6.0,0.0,2.0,0.0,0.0,190.0,0.0,2.0,24.0,46.0,1.0,3.0,0.0,1.0,0.0,0.0,95.0,0.0,1.0,12.0,23.0,9.0,0.0,3.0,0.0,0.0,285.0,0.0,3.0,36.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,0.0,1.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9025.0,0.0,95.0,1140.0,2185.0,0.0,0.0,0.0,0.0,1.0,12.0,23.0,144.0,276.0,529.0,115000
1976.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,201.0,4.0,0.0,39.0,33.0,3904576.0,1976.0,1976.0,3952.0,1976.0,0.0,0.0,0.0,397176.0,7904.0,0.0,77064.0,65208.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,201.0,4.0,0.0,39.0,33.0,1.0,2.0,1.0,0.0,0.0,0.0,201.0,4.0,0.0,39.0,33.0,4.0,2.0,0.0,0.0,0.0,402.0,8.0,0.0,78.0,66.0,1.0,0.0,0.0,0.0,201.0,4.0,0.0,39.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40401.0,804.0,0.0,7839.0,6633.0,16.0,0.0,156.0,132.0,0.0,0.0,0.0,1521.0,1287.0,1089.0,229900
1924.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,254.0,1.0,1.0,56.0,30.0,3701776.0,1924.0,3848.0,5772.0,1924.0,1924.0,1924.0,1924.0,488696.0,1924.0,1924.0,107744.0,57720.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,254.0,1.0,1.0,56.0,30.0,4.0,6.0,2.0,2.0,2.0,2.0,508.0,2.0,2.0,112.0,60.0,9.0,3.0,3.0,3.0,3.0,762.0,3.0,3.0,168.0,90.0,1.0,1.0,1.0,1.0,254.0,1.0,1.0,56.0,30.0,1.0,1.0,1.0,254.0,1.0,1.0,56.0,30.0,1.0,1.0,254.0,1.0,1.0,56.0,30.0,1.0,254.0,1.0,1.0,56.0,30.0,64516.0,254.0,254.0,14224.0,7620.0,1.0,1.0,56.0,30.0,1.0,56.0,30.0,3136.0,1680.0,900.0,315000
1981.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,121.0,0.0,1.0,30.0,11.0,3924361.0,1981.0,1981.0,5943.0,0.0,0.0,0.0,0.0,239701.0,0.0,1981.0,59430.0,21791.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,121.0,0.0,1.0,30.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,121.0,0.0,1.0,30.0,11.0,9.0,0.0,0.0,0.0,0.0,363.0,0.0,3.0,90.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14641.0,0.0,121.0,3630.0,1331.0,0.0,0.0,0.0,0.0,1.0,30.0,11.0,900.0,330.0,121.0,158000
1910.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,293.0,3.0,1.0,56.0,30.0,3648100.0,1910.0,5730.0,5730.0,1910.0,1910.0,1910.0,0.0,559630.0,5730.0,1910.0,106960.0,57300.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,293.0,3.0,1.0,56.0,30.0,9.0,9.0,3.0,3.0,3.0,0.0,879.0,9.0,3.0,168.0,90.0,9.0,3.0,3.0,3.0,0.0,879.0,9.0,3.0,168.0,90.0,1.0,1.0,1.0,0.0,293.0,3.0,1.0,56.0,30.0,1.0,1.0,0.0,293.0,3.0,1.0,56.0,30.0,1.0,0.0,293.0,3.0,1.0,56.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,85849.0,879.0,293.0,16408.0,8790.0,9.0,3.0,168.0,90.0,1.0,56.0,30.0,3136.0,1680.0,900.0,699000
1995.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,176.0,0.0,2.0,27.0,30.0,3980025.0,1995.0,5985.0,5985.0,1995.0,1995.0,1995.0,1995.0,351120.0,0.0,3990.0,53865.0,59850.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,176.0,0.0,2.0,27.0,30.0,9.0,9.0,3.0,3.0,3.0,3.0,528.0,0.0,6.0,81.0,90.0,9.0,3.0,3.0,3.0,3.0,528.0,0.0,6.0,81.0,90.0,1.0,1.0,1.0,1.0,176.0,0.0,2.0,27.0,30.0,1.0,1.0,1.0,176.0,0.0,2.0,27.0,30.0,1.0,1.0,176.0,0.0,2.0,27.0,30.0,1.0,176.0,0.0,2.0,27.0,30.0,30976.0,0.0,352.0,4752.0,5280.0,0.0,0.0,0.0,0.0,4.0,54.0,60.0,729.0,810.0,900.0,315000
2010.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,368.0,2.0,0.0,34.0,18.0,4040100.0,4020.0,2010.0,4020.0,2010.0,2010.0,0.0,2010.0,739680.0,4020.0,0.0,68340.0,36180.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,736.0,4.0,0.0,68.0,36.0,1.0,2.0,1.0,1.0,0.0,1.0,368.0,2.0,0.0,34.0,18.0,4.0,2.0,2.0,0.0,2.0,736.0,4.0,0.0,68.0,36.0,1.0,1.0,0.0,1.0,368.0,2.0,0.0,34.0,18.0,1.0,0.0,1.0,368.0,2.0,0.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.0,2.0,0.0,34.0,18.0,135424.0,736.0,0.0,12512.0,6624.0,4.0,0.0,68.0,36.0,0.0,0.0,0.0,1156.0,612.0,324.0,822500
1966.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,115.0,0.0,1.0,62.0,10.0,3865156.0,1966.0,1966.0,5898.0,0.0,0.0,0.0,0.0,226090.0,0.0,1966.0,121892.0,19660.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,115.0,0.0,1.0,62.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,115.0,0.0,1.0,62.0,10.0,9.0,0.0,0.0,0.0,0.0,345.0,0.0,3.0,186.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13225.0,0.0,115.0,7130.0,1150.0,0.0,0.0,0.0,0.0,1.0,62.0,10.0,3844.0,620.0,100.0,207000
1996.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,226.0,0.0,1.0,16.0,6.0,3984016.0,3992.0,1996.0,5988.0,0.0,0.0,0.0,0.0,451096.0,0.0,1996.0,31936.0,11976.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,452.0,0.0,2.0,32.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,226.0,0.0,1.0,16.0,6.0,9.0,0.0,0.0,0.0,0.0,678.0,0.0,3.0,48.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51076.0,0.0,226.0,3616.0,1356.0,0.0,0.0,0.0,0.0,1.0,16.0,6.0,256.0,96.0,36.0,355000
1980.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,414.0,1.0,1.0,54.0,22.0,3920400.0,1980.0,1980.0,1980.0,0.0,0.0,0.0,0.0,819720.0,1980.0,1980.0,106920.0,43560.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,414.0,1.0,1.0,54.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,414.0,1.0,1.0,54.0,22.0,1.0,0.0,0.0,0.0,0.0,414.0,1.0,1.0,54.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171396.0,414.0,414.0,22356.0,9108.0,1.0,1.0,54.0,22.0,1.0,54.0,22.0,2916.0,1188.0,484.0,310000
