description.year_built,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded,description.year_built^2,description.year_built description.baths,description.year_built description.garage,description.year_built description.stories,description.year_built description.beds,description.year_built num_days,description.year_built central_air,description.year_built dishwasher,description.year_built fireplace,description.year_built basement,description.year_built price_per_sqft,description.year_built median_value_per_sqft,description.year_built description.type_encoded,description.year_built city_encoded,description.baths^2,description.baths description.garage,description.baths description.stories,description.baths description.beds,description.baths num_days,description.baths central_air,description.baths dishwasher,description.baths fireplace,description.baths basement,description.baths price_per_sqft,description.baths median_value_per_sqft,description.baths description.type_encoded,description.baths city_encoded,description.garage^2,description.garage description.stories,description.garage description.beds,description.garage num_days,description.garage central_air,description.garage dishwasher,description.garage fireplace,description.garage basement,description.garage price_per_sqft,description.garage median_value_per_sqft,description.garage description.type_encoded,description.garage city_encoded,description.stories^2,description.stories description.beds,description.stories num_days,description.stories central_air,description.stories dishwasher,description.stories fireplace,description.stories basement,description.stories price_per_sqft,description.stories median_value_per_sqft,description.stories description.type_encoded,description.stories city_encoded,description.beds^2,description.beds num_days,description.beds central_air,description.beds dishwasher,description.beds fireplace,description.beds basement,description.beds price_per_sqft,description.beds median_value_per_sqft,description.beds description.type_encoded,description.beds city_encoded,num_days^2,num_days central_air,num_days dishwasher,num_days fireplace,num_days basement,num_days price_per_sqft,num_days median_value_per_sqft,num_days description.type_encoded,num_days city_encoded,central_air^2,central_air dishwasher,central_air fireplace,central_air basement,central_air price_per_sqft,central_air median_value_per_sqft,central_air description.type_encoded,central_air city_encoded,dishwasher^2,dishwasher fireplace,dishwasher basement,dishwasher price_per_sqft,dishwasher median_value_per_sqft,dishwasher description.type_encoded,dishwasher city_encoded,fireplace^2,fireplace basement,fireplace price_per_sqft,fireplace median_value_per_sqft,fireplace description.type_encoded,fireplace city_encoded,basement^2,basement price_per_sqft,basement median_value_per_sqft,basement description.type_encoded,basement city_encoded,price_per_sqft^2,price_per_sqft median_value_per_sqft,price_per_sqft description.type_encoded,price_per_sqft city_encoded,median_value_per_sqft^2,median_value_per_sqft description.type_encoded,median_value_per_sqft city_encoded,description.type_encoded^2,description.type_encoded city_encoded,city_encoded^2,description.sold_price
1966.0,3.0,1.0,1.0,3.0,52.0,0.0,0.0,0.0,1.0,85.0,0.0,1.0,19.0,3865156.0,5898.0,1966.0,1966.0,5898.0,102232.0,0.0,0.0,0.0,1966.0,167110.0,0.0,1966.0,37354.0,9.0,3.0,3.0,9.0,156.0,0.0,0.0,0.0,3.0,255.0,0.0,3.0,57.0,1.0,1.0,3.0,52.0,0.0,0.0,0.0,1.0,85.0,0.0,1.0,19.0,1.0,3.0,52.0,0.0,0.0,0.0,1.0,85.0,0.0,1.0,19.0,9.0,156.0,0.0,0.0,0.0,3.0,255.0,0.0,3.0,57.0,2704.0,0.0,0.0,0.0,52.0,4420.0,0.0,52.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,0.0,1.0,19.0,7225.0,0.0,85.0,1615.0,0.0,0.0,0.0,1.0,19.0,361.0,133000
1995.0,3.0,2.0,2.0,3.0,60.0,1.0,1.0,1.0,1.0,177.0,3.0,1.0,36.0,3980025.0,5985.0,3990.0,3990.0,5985.0,119700.0,1995.0,1995.0,1995.0,1995.0,353115.0,5985.0,1995.0,71820.0,9.0,6.0,6.0,9.0,180.0,3.0,3.0,3.0,3.0,531.0,9.0,3.0,108.0,4.0,4.0,6.0,120.0,2.0,2.0,2.0,2.0,354.0,6.0,2.0,72.0,4.0,6.0,120.0,2.0,2.0,2.0,2.0,354.0,6.0,2.0,72.0,9.0,180.0,3.0,3.0,3.0,3.0,531.0,9.0,3.0,108.0,3600.0,60.0,60.0,60.0,60.0,10620.0,180.0,60.0,2160.0,1.0,1.0,1.0,1.0,177.0,3.0,1.0,36.0,1.0,1.0,1.0,177.0,3.0,1.0,36.0,1.0,1.0,177.0,3.0,1.0,36.0,1.0,177.0,3.0,1.0,36.0,31329.0,531.0,177.0,6372.0,9.0,3.0,108.0,1.0,36.0,1296.0,368000
1944.0,1.0,1.0,1.0,2.0,57.0,1.0,1.0,0.0,1.0,132.0,0.0,1.0,29.0,3779136.0,1944.0,1944.0,1944.0,3888.0,110808.0,1944.0,1944.0,0.0,1944.0,256608.0,0.0,1944.0,56376.0,1.0,1.0,1.0,2.0,57.0,1.0,1.0,0.0,1.0,132.0,0.0,1.0,29.0,1.0,1.0,2.0,57.0,1.0,1.0,0.0,1.0,132.0,0.0,1.0,29.0,1.0,2.0,57.0,1.0,1.0,0.0,1.0,132.0,0.0,1.0,29.0,4.0,114.0,2.0,2.0,0.0,2.0,264.0,0.0,2.0,58.0,3249.0,57.0,57.0,0.0,57.0,7524.0,0.0,57.0,1653.0,1.0,1.0,0.0,1.0,132.0,0.0,1.0,29.0,1.0,0.0,1.0,132.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.0,0.0,1.0,29.0,17424.0,0.0,132.0,3828.0,0.0,0.0,0.0,1.0,29.0,841.0,110000
1995.0,3.0,4.0,1.0,3.0,32.0,1.0,1.0,1.0,1.0,184.0,5.0,1.0,36.0,3980025.0,5985.0,7980.0,1995.0,5985.0,63840.0,1995.0,1995.0,1995.0,1995.0,367080.0,9975.0,1995.0,71820.0,9.0,12.0,3.0,9.0,96.0,3.0,3.0,3.0,3.0,552.0,15.0,3.0,108.0,16.0,4.0,12.0,128.0,4.0,4.0,4.0,4.0,736.0,20.0,4.0,144.0,1.0,3.0,32.0,1.0,1.0,1.0,1.0,184.0,5.0,1.0,36.0,9.0,96.0,3.0,3.0,3.0,3.0,552.0,15.0,3.0,108.0,1024.0,32.0,32.0,32.0,32.0,5888.0,160.0,32.0,1152.0,1.0,1.0,1.0,1.0,184.0,5.0,1.0,36.0,1.0,1.0,1.0,184.0,5.0,1.0,36.0,1.0,1.0,184.0,5.0,1.0,36.0,1.0,184.0,5.0,1.0,36.0,33856.0,920.0,184.0,6624.0,25.0,5.0,180.0,1.0,36.0,1296.0,651000
2000.0,2.0,2.0,1.0,3.0,85.0,1.0,1.0,1.0,0.0,328.0,3.0,1.0,46.0,4000000.0,4000.0,4000.0,2000.0,6000.0,170000.0,2000.0,2000.0,2000.0,0.0,656000.0,6000.0,2000.0,92000.0,4.0,4.0,2.0,6.0,170.0,2.0,2.0,2.0,0.0,656.0,6.0,2.0,92.0,4.0,2.0,6.0,170.0,2.0,2.0,2.0,0.0,656.0,6.0,2.0,92.0,1.0,3.0,85.0,1.0,1.0,1.0,0.0,328.0,3.0,1.0,46.0,9.0,255.0,3.0,3.0,3.0,0.0,984.0,9.0,3.0,138.0,7225.0,85.0,85.0,85.0,0.0,27880.0,255.0,85.0,3910.0,1.0,1.0,1.0,0.0,328.0,3.0,1.0,46.0,1.0,1.0,0.0,328.0,3.0,1.0,46.0,1.0,0.0,328.0,3.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,107584.0,984.0,328.0,15088.0,9.0,3.0,138.0,1.0,46.0,2116.0,709900
1984.0,2.0,2.0,1.0,3.0,43.0,1.0,0.0,1.0,0.0,166.0,1.0,1.0,44.0,3936256.0,3968.0,3968.0,1984.0,5952.0,85312.0,1984.0,0.0,1984.0,0.0,329344.0,1984.0,1984.0,87296.0,4.0,4.0,2.0,6.0,86.0,2.0,0.0,2.0,0.0,332.0,2.0,2.0,88.0,4.0,2.0,6.0,86.0,2.0,0.0,2.0,0.0,332.0,2.0,2.0,88.0,1.0,3.0,43.0,1.0,0.0,1.0,0.0,166.0,1.0,1.0,44.0,9.0,129.0,3.0,0.0,3.0,0.0,498.0,3.0,3.0,132.0,1849.0,43.0,0.0,43.0,0.0,7138.0,43.0,43.0,1892.0,1.0,0.0,1.0,0.0,166.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,166.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,27556.0,166.0,166.0,7304.0,1.0,1.0,44.0,1.0,44.0,1936.0,220000
1981.0,1.0,1.0,1.0,2.0,116.0,0.0,1.0,0.0,0.0,274.0,5.0,0.0,36.0,3924361.0,1981.0,1981.0,1981.0,3962.0,229796.0,0.0,1981.0,0.0,0.0,542794.0,9905.0,0.0,71316.0,1.0,1.0,1.0,2.0,116.0,0.0,1.0,0.0,0.0,274.0,5.0,0.0,36.0,1.0,1.0,2.0,116.0,0.0,1.0,0.0,0.0,274.0,5.0,0.0,36.0,1.0,2.0,116.0,0.0,1.0,0.0,0.0,274.0,5.0,0.0,36.0,4.0,232.0,0.0,2.0,0.0,0.0,548.0,10.0,0.0,72.0,13456.0,0.0,116.0,0.0,0.0,31784.0,580.0,0.0,4176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,274.0,5.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75076.0,1370.0,0.0,9864.0,25.0,0.0,180.0,0.0,0.0,1296.0,285000
1993.0,3.0,2.0,2.0,4.0,56.0,0.0,0.0,1.0,0.0,217.0,0.0,1.0,7.0,3972049.0,5979.0,3986.0,3986.0,7972.0,111608.0,0.0,0.0,1993.0,0.0,432481.0,0.0,1993.0,13951.0,9.0,6.0,6.0,12.0,168.0,0.0,0.0,3.0,0.0,651.0,0.0,3.0,21.0,4.0,4.0,8.0,112.0,0.0,0.0,2.0,0.0,434.0,0.0,2.0,14.0,4.0,8.0,112.0,0.0,0.0,2.0,0.0,434.0,0.0,2.0,14.0,16.0,224.0,0.0,0.0,4.0,0.0,868.0,0.0,4.0,28.0,3136.0,0.0,0.0,56.0,0.0,12152.0,0.0,56.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,47089.0,0.0,217.0,1519.0,0.0,0.0,0.0,1.0,7.0,49.0,560000
1926.0,2.0,1.0,1.0,2.0,59.0,1.0,1.0,0.0,1.0,213.0,0.0,1.0,32.0,3709476.0,3852.0,1926.0,1926.0,3852.0,113634.0,1926.0,1926.0,0.0,1926.0,410238.0,0.0,1926.0,61632.0,4.0,2.0,2.0,4.0,118.0,2.0,2.0,0.0,2.0,426.0,0.0,2.0,64.0,1.0,1.0,2.0,59.0,1.0,1.0,0.0,1.0,213.0,0.0,1.0,32.0,1.0,2.0,59.0,1.0,1.0,0.0,1.0,213.0,0.0,1.0,32.0,4.0,118.0,2.0,2.0,0.0,2.0,426.0,0.0,2.0,64.0,3481.0,59.0,59.0,0.0,59.0,12567.0,0.0,59.0,1888.0,1.0,1.0,0.0,1.0,213.0,0.0,1.0,32.0,1.0,0.0,1.0,213.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,213.0,0.0,1.0,32.0,45369.0,0.0,213.0,6816.0,0.0,0.0,0.0,1.0,32.0,1024.0,203000
2007.0,4.0,2.0,2.0,5.0,46.0,1.0,1.0,0.0,0.0,192.0,0.0,1.0,58.0,4028049.0,8028.0,4014.0,4014.0,10035.0,92322.0,2007.0,2007.0,0.0,0.0,385344.0,0.0,2007.0,116406.0,16.0,8.0,8.0,20.0,184.0,4.0,4.0,0.0,0.0,768.0,0.0,4.0,232.0,4.0,4.0,10.0,92.0,2.0,2.0,0.0,0.0,384.0,0.0,2.0,116.0,4.0,10.0,92.0,2.0,2.0,0.0,0.0,384.0,0.0,2.0,116.0,25.0,230.0,5.0,5.0,0.0,0.0,960.0,0.0,5.0,290.0,2116.0,46.0,46.0,0.0,0.0,8832.0,0.0,46.0,2668.0,1.0,1.0,0.0,0.0,192.0,0.0,1.0,58.0,1.0,0.0,0.0,192.0,0.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36864.0,0.0,192.0,11136.0,0.0,0.0,0.0,1.0,58.0,3364.0,570000
