description.year_built,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded,description.year_built^2,description.year_built description.baths,description.year_built description.garage,description.year_built description.stories,description.year_built description.beds,description.year_built num_days,description.year_built central_air,description.year_built dishwasher,description.year_built fireplace,description.year_built basement,description.year_built price_per_sqft,description.year_built median_value_per_sqft,description.year_built description.type_encoded,description.year_built city_encoded,description.baths^2,description.baths description.garage,description.baths description.stories,description.baths description.beds,description.baths num_days,description.baths central_air,description.baths dishwasher,description.baths fireplace,description.baths basement,description.baths price_per_sqft,description.baths median_value_per_sqft,description.baths description.type_encoded,description.baths city_encoded,description.garage^2,description.garage description.stories,description.garage description.beds,description.garage num_days,description.garage central_air,description.garage dishwasher,description.garage fireplace,description.garage basement,description.garage price_per_sqft,description.garage median_value_per_sqft,description.garage description.type_encoded,description.garage city_encoded,description.stories^2,description.stories description.beds,description.stories num_days,description.stories central_air,description.stories dishwasher,description.stories fireplace,description.stories basement,description.stories price_per_sqft,description.stories median_value_per_sqft,description.stories description.type_encoded,description.stories city_encoded,description.beds^2,description.beds num_days,description.beds central_air,description.beds dishwasher,description.beds fireplace,description.beds basement,description.beds price_per_sqft,description.beds median_value_per_sqft,description.beds description.type_encoded,description.beds city_encoded,num_days^2,num_days central_air,num_days dishwasher,num_days fireplace,num_days basement,num_days price_per_sqft,num_days median_value_per_sqft,num_days description.type_encoded,num_days city_encoded,central_air^2,central_air dishwasher,central_air fireplace,central_air basement,central_air price_per_sqft,central_air median_value_per_sqft,central_air description.type_encoded,central_air city_encoded,dishwasher^2,dishwasher fireplace,dishwasher basement,dishwasher price_per_sqft,dishwasher median_value_per_sqft,dishwasher description.type_encoded,dishwasher city_encoded,fireplace^2,fireplace basement,fireplace price_per_sqft,fireplace median_value_per_sqft,fireplace description.type_encoded,fireplace city_encoded,basement^2,basement price_per_sqft,basement median_value_per_sqft,basement description.type_encoded,basement city_encoded,price_per_sqft^2,price_per_sqft median_value_per_sqft,price_per_sqft description.type_encoded,price_per_sqft city_encoded,median_value_per_sqft^2,median_value_per_sqft description.type_encoded,median_value_per_sqft city_encoded,description.type_encoded^2,description.type_encoded city_encoded,city_encoded^2,description.sold_price
1979.0,2.0,2.0,1.0,2.0,62.0,0.0,1.0,1.0,1.0,102.0,0.0,2.0,34.0,3916441.0,3958.0,3958.0,1979.0,3958.0,122698.0,0.0,1979.0,1979.0,1979.0,201858.0,0.0,3958.0,67286.0,4.0,4.0,2.0,4.0,124.0,0.0,2.0,2.0,2.0,204.0,0.0,4.0,68.0,4.0,2.0,4.0,124.0,0.0,2.0,2.0,2.0,204.0,0.0,4.0,68.0,1.0,2.0,62.0,0.0,1.0,1.0,1.0,102.0,0.0,2.0,34.0,4.0,124.0,0.0,2.0,2.0,2.0,204.0,0.0,4.0,68.0,3844.0,0.0,62.0,62.0,62.0,6324.0,0.0,124.0,2108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,102.0,0.0,2.0,34.0,1.0,1.0,102.0,0.0,2.0,34.0,1.0,102.0,0.0,2.0,34.0,10404.0,0.0,204.0,3468.0,0.0,0.0,0.0,4.0,68.0,1156.0,190000
1965.0,3.0,2.0,2.0,4.0,32.0,1.0,0.0,1.0,1.0,98.0,1.0,1.0,31.0,3861225.0,5895.0,3930.0,3930.0,7860.0,62880.0,1965.0,0.0,1965.0,1965.0,192570.0,1965.0,1965.0,60915.0,9.0,6.0,6.0,12.0,96.0,3.0,0.0,3.0,3.0,294.0,3.0,3.0,93.0,4.0,4.0,8.0,64.0,2.0,0.0,2.0,2.0,196.0,2.0,2.0,62.0,4.0,8.0,64.0,2.0,0.0,2.0,2.0,196.0,2.0,2.0,62.0,16.0,128.0,4.0,0.0,4.0,4.0,392.0,4.0,4.0,124.0,1024.0,32.0,0.0,32.0,32.0,3136.0,32.0,32.0,992.0,1.0,0.0,1.0,1.0,98.0,1.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,1.0,1.0,31.0,1.0,98.0,1.0,1.0,31.0,9604.0,98.0,98.0,3038.0,1.0,1.0,31.0,1.0,31.0,961.0,340000
1965.0,2.0,1.0,1.0,3.0,69.0,1.0,0.0,0.0,0.0,353.0,2.0,1.0,56.0,3861225.0,3930.0,1965.0,1965.0,5895.0,135585.0,1965.0,0.0,0.0,0.0,693645.0,3930.0,1965.0,110040.0,4.0,2.0,2.0,6.0,138.0,2.0,0.0,0.0,0.0,706.0,4.0,2.0,112.0,1.0,1.0,3.0,69.0,1.0,0.0,0.0,0.0,353.0,2.0,1.0,56.0,1.0,3.0,69.0,1.0,0.0,0.0,0.0,353.0,2.0,1.0,56.0,9.0,207.0,3.0,0.0,0.0,0.0,1059.0,6.0,3.0,168.0,4761.0,69.0,0.0,0.0,0.0,24357.0,138.0,69.0,3864.0,1.0,0.0,0.0,0.0,353.0,2.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124609.0,706.0,353.0,19768.0,4.0,2.0,112.0,1.0,56.0,3136.0,357000
1962.0,1.0,1.0,1.0,3.0,65.0,1.0,1.0,0.0,1.0,264.0,0.0,1.0,0.0,3849444.0,1962.0,1962.0,1962.0,5886.0,127530.0,1962.0,1962.0,0.0,1962.0,517968.0,0.0,1962.0,0.0,1.0,1.0,1.0,3.0,65.0,1.0,1.0,0.0,1.0,264.0,0.0,1.0,0.0,1.0,1.0,3.0,65.0,1.0,1.0,0.0,1.0,264.0,0.0,1.0,0.0,1.0,3.0,65.0,1.0,1.0,0.0,1.0,264.0,0.0,1.0,0.0,9.0,195.0,3.0,3.0,0.0,3.0,792.0,0.0,3.0,0.0,4225.0,65.0,65.0,0.0,65.0,17160.0,0.0,65.0,0.0,1.0,1.0,0.0,1.0,264.0,0.0,1.0,0.0,1.0,0.0,1.0,264.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264.0,0.0,1.0,0.0,69696.0,0.0,264.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,275000
1836.0,1.0,1.0,2.0,2.0,48.0,0.0,0.0,0.0,1.0,80.0,0.0,2.0,64.0,3370896.0,1836.0,1836.0,3672.0,3672.0,88128.0,0.0,0.0,0.0,1836.0,146880.0,0.0,3672.0,117504.0,1.0,1.0,2.0,2.0,48.0,0.0,0.0,0.0,1.0,80.0,0.0,2.0,64.0,1.0,2.0,2.0,48.0,0.0,0.0,0.0,1.0,80.0,0.0,2.0,64.0,4.0,4.0,96.0,0.0,0.0,0.0,2.0,160.0,0.0,4.0,128.0,4.0,96.0,0.0,0.0,0.0,2.0,160.0,0.0,4.0,128.0,2304.0,0.0,0.0,0.0,48.0,3840.0,0.0,96.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,2.0,64.0,6400.0,0.0,160.0,5120.0,0.0,0.0,0.0,4.0,128.0,4096.0,100000
1961.0,1.0,4.0,1.0,3.0,29.0,0.0,1.0,0.0,0.0,368.0,2.0,1.0,49.0,3845521.0,1961.0,7844.0,1961.0,5883.0,56869.0,0.0,1961.0,0.0,0.0,721648.0,3922.0,1961.0,96089.0,1.0,4.0,1.0,3.0,29.0,0.0,1.0,0.0,0.0,368.0,2.0,1.0,49.0,16.0,4.0,12.0,116.0,0.0,4.0,0.0,0.0,1472.0,8.0,4.0,196.0,1.0,3.0,29.0,0.0,1.0,0.0,0.0,368.0,2.0,1.0,49.0,9.0,87.0,0.0,3.0,0.0,0.0,1104.0,6.0,3.0,147.0,841.0,0.0,29.0,0.0,0.0,10672.0,58.0,29.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,368.0,2.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135424.0,736.0,368.0,18032.0,4.0,2.0,98.0,1.0,49.0,2401.0,399950
1993.0,3.0,2.0,2.0,3.0,65.0,1.0,1.0,1.0,1.0,195.0,3.0,1.0,39.0,3972049.0,5979.0,3986.0,3986.0,5979.0,129545.0,1993.0,1993.0,1993.0,1993.0,388635.0,5979.0,1993.0,77727.0,9.0,6.0,6.0,9.0,195.0,3.0,3.0,3.0,3.0,585.0,9.0,3.0,117.0,4.0,4.0,6.0,130.0,2.0,2.0,2.0,2.0,390.0,6.0,2.0,78.0,4.0,6.0,130.0,2.0,2.0,2.0,2.0,390.0,6.0,2.0,78.0,9.0,195.0,3.0,3.0,3.0,3.0,585.0,9.0,3.0,117.0,4225.0,65.0,65.0,65.0,65.0,12675.0,195.0,65.0,2535.0,1.0,1.0,1.0,1.0,195.0,3.0,1.0,39.0,1.0,1.0,1.0,195.0,3.0,1.0,39.0,1.0,1.0,195.0,3.0,1.0,39.0,1.0,195.0,3.0,1.0,39.0,38025.0,585.0,195.0,7605.0,9.0,3.0,117.0,1.0,39.0,1521.0,410000
1923.0,2.0,1.0,1.0,3.0,70.0,1.0,1.0,1.0,1.0,158.0,1.0,1.0,29.0,3697929.0,3846.0,1923.0,1923.0,5769.0,134610.0,1923.0,1923.0,1923.0,1923.0,303834.0,1923.0,1923.0,55767.0,4.0,2.0,2.0,6.0,140.0,2.0,2.0,2.0,2.0,316.0,2.0,2.0,58.0,1.0,1.0,3.0,70.0,1.0,1.0,1.0,1.0,158.0,1.0,1.0,29.0,1.0,3.0,70.0,1.0,1.0,1.0,1.0,158.0,1.0,1.0,29.0,9.0,210.0,3.0,3.0,3.0,3.0,474.0,3.0,3.0,87.0,4900.0,70.0,70.0,70.0,70.0,11060.0,70.0,70.0,2030.0,1.0,1.0,1.0,1.0,158.0,1.0,1.0,29.0,1.0,1.0,1.0,158.0,1.0,1.0,29.0,1.0,1.0,158.0,1.0,1.0,29.0,1.0,158.0,1.0,1.0,29.0,24964.0,158.0,158.0,4582.0,1.0,1.0,29.0,1.0,29.0,841.0,300000
1961.0,2.0,1.0,1.0,3.0,460.0,0.0,0.0,0.0,0.0,384.0,0.0,1.0,53.0,3845521.0,3922.0,1961.0,1961.0,5883.0,902060.0,0.0,0.0,0.0,0.0,753024.0,0.0,1961.0,103933.0,4.0,2.0,2.0,6.0,920.0,0.0,0.0,0.0,0.0,768.0,0.0,2.0,106.0,1.0,1.0,3.0,460.0,0.0,0.0,0.0,0.0,384.0,0.0,1.0,53.0,1.0,3.0,460.0,0.0,0.0,0.0,0.0,384.0,0.0,1.0,53.0,9.0,1380.0,0.0,0.0,0.0,0.0,1152.0,0.0,3.0,159.0,211600.0,0.0,0.0,0.0,0.0,176640.0,0.0,460.0,24380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147456.0,0.0,384.0,20352.0,0.0,0.0,0.0,1.0,53.0,2809.0,690000
1978.0,2.0,1.0,1.0,4.0,126.0,0.0,0.0,1.0,0.0,105.0,0.0,1.0,36.0,3912484.0,3956.0,1978.0,1978.0,7912.0,249228.0,0.0,0.0,1978.0,0.0,207690.0,0.0,1978.0,71208.0,4.0,2.0,2.0,8.0,252.0,0.0,0.0,2.0,0.0,210.0,0.0,2.0,72.0,1.0,1.0,4.0,126.0,0.0,0.0,1.0,0.0,105.0,0.0,1.0,36.0,1.0,4.0,126.0,0.0,0.0,1.0,0.0,105.0,0.0,1.0,36.0,16.0,504.0,0.0,0.0,4.0,0.0,420.0,0.0,4.0,144.0,15876.0,0.0,0.0,126.0,0.0,13230.0,0.0,126.0,4536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,105.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,11025.0,0.0,105.0,3780.0,0.0,0.0,0.0,1.0,36.0,1296.0,258000
