,price_reduced_amount,description.year_built,description.sold_price,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,description.type,location.address.state,location.address.city,central_air,dishwasher,basement,fireplace,hardwood_floors,washer_dryer,recreation_facilities,view,fenced_yard,new_roof,updated_kitchen,rental_property,ensuite,median_sold_state
33,45100.0,1955.0,283000.0,12632.0,2215.0,2.0,0.0,1.0,3.0,single_family,Pennsylvania,Harrisburg,1,1,1,1,1,1,0,0,0,0,0,0,0,121677.8
34,0.0,1948.0,266900.0,11853.0,1637.0,2.0,0.0,1.0,3.0,single_family,Pennsylvania,Harrisburg,1,1,0,1,0,1,0,0,0,1,0,0,0,121677.8
35,0.0,2023.0,497900.0,15246.0,1518.0,3.0,2.0,2.0,3.0,single_family,Pennsylvania,Harrisburg,1,1,1,1,0,1,0,0,0,0,1,0,0,121677.8
36,10000.0,1987.0,260000.0,3049.0,1476.0,3.0,2.0,3.0,2.0,single_family,Pennsylvania,Harrisburg,1,1,1,0,0,1,0,0,0,1,1,0,1,121677.8
37,0.0,1988.0,229995.0,3920.0,1488.0,3.0,2.0,2.0,3.0,single_family,Pennsylvania,Harrisburg,1,0,1,0,0,0,0,0,0,1,0,0,0,121677.8
39,0.0,1995.0,465000.0,9583.0,2341.0,3.0,2.0,2.0,3.0,single_family,Pennsylvania,Harrisburg,1,1,1,1,0,1,0,0,0,0,0,0,0,121677.8
40,0.0,1900.0,230000.0,1742.0,2601.0,3.0,0.0,3.0,3.0,townhomes,Pennsylvania,Harrisburg,1,0,1,0,0,0,0,1,0,0,0,0,0,121677.8
41,0.0,1923.0,122500.0,2178.0,1440.0,1.0,0.0,2.0,3.0,townhomes,Pennsylvania,Harrisburg,0,1,1,0,0,1,0,0,1,0,0,1,0,121677.8
105,2600.0,1967.0,360000.0,12480.0,2034.0,2.0,0.0,2.0,4.0,single_family,Tennessee,Nashville,1,1,0,1,1,0,0,0,0,0,0,0,1,229878.0
106,20900.0,2003.0,400000.0,9583.0,2066.0,2.0,0.0,1.0,3.0,single_family,Tennessee,Antioch,1,1,0,1,0,1,0,1,0,0,0,0,0,229878.0
107,0.0,1972.0,710000.0,150154.4532274767,1905.674311169774,0.0,0.0,0.0,3.2121163426000323,single_family,Tennessee,Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
108,0.0,1961.0,1035800.0,150154.4532274767,1350.0,1.0,0.0,1.0,3.0,single_family,Tennessee,Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
109,0.0,1964.0,1075000.0,82764.0,5016.0,4.0,0.0,2.0,0.0,single_family,Tennessee,Nashville,1,0,1,0,1,0,0,1,0,0,0,0,0,229878.0
111,0.0,1990.0,1041750.0,284011.0,4012.0,4.0,0.0,2.0,4.0,single_family,Tennessee,Antioch,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
113,0.0,1946.0,500000.0,9583.0,744.0,1.0,0.0,1.0,2.0,single_family,Tennessee,Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
114,0.0,1983.0,475000.0,130680.0,1633.0,2.0,0.0,1.0,3.0,single_family,Tennessee,Pegram,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
115,0.0,1950.0,1550000.0,16988.0,2499.0,2.0,0.0,1.0,3.0,single_family,Tennessee,Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
118,0.0,1973.0,1458250.0,417305.0,4428.0,3.0,0.0,1.0,4.0,single_family,Tennessee,Antioch,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
120,0.0,1991.0,850000.0,6534.0,2080.0,2.0,0.0,2.0,4.0,single_family,Tennessee,Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,229878.0
121,0.0,1965.0,433000.0,9000.0,1612.0,2.0,0.0,1.0,3.0,single_family,Maryland,Annapolis,1,0,0,0,0,0,1,0,1,0,0,1,0,479835.6
123,0.0,1986.0,810000.0,85813.0,2774.0,3.0,2.0,3.0,5.0,single_family,Maryland,Annapolis,1,0,1,1,0,0,0,0,0,0,0,0,0,479835.6
124,30100.0,1978.0,599000.0,15660.0,2164.0,3.0,0.0,2.0,4.0,single_family,Maryland,Annapolis,1,1,1,1,1,1,0,0,0,0,0,0,1,479835.6
125,0.0,1986.0,777000.0,33105.0,4148.0,4.0,0.0,1.0,6.0,single_family,Maryland,Annapolis,1,1,1,1,0,1,0,0,0,0,0,0,0,479835.6
126,0.0,1992.0,460000.0,7500.0,2380.0,3.0,2.0,3.0,3.0,single_family,Maryland,Annapolis,1,0,1,0,0,0,0,0,0,0,0,0,0,479835.6
127,0.0,1999.0,289900.0,150154.4532274767,1620.0,3.0,0.0,3.0,3.0,condos,Maryland,Annapolis,1,0,0,0,0,1,1,0,0,0,0,0,0,479835.6
130,10000.0,1981.0,380000.0,3652.0,1649.0,3.0,0.0,3.0,4.0,townhomes,Maryland,Annapolis,1,1,1,1,1,1,0,0,0,0,0,0,0,479835.6
131,0.0,1953.0,985000.0,15483.0,1848.0,2.0,0.0,2.0,4.0,single_family,Maryland,Annapolis,1,1,1,1,1,1,1,1,0,0,0,1,1,479835.6
132,0.0,1983.0,555000.0,5850.0,1272.0,2.0,1.0,3.0,3.0,single_family,Maryland,Annapolis,1,0,1,1,0,0,0,0,0,0,0,0,0,479835.6
133,0.0,1961.0,452500.0,19115.0,1713.0,2.0,0.0,2.0,3.0,single_family,Maryland,Annapolis,0,1,1,1,1,1,0,0,1,0,0,0,0,479835.6
134,35000.0,1992.0,410000.0,2160.0,1234.0,2.0,1.0,1.0,2.0,townhomes,Maryland,Annapolis,1,1,0,0,0,1,1,0,0,0,0,0,0,479835.6
