description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
2015,400000,3,1,2,3,106,1,0,0,0,229,4,0,21
1923,122500,1,1,2,3,62,0,1,0,1,85,0,2,23
2018,245000,2,2,1,2,90,1,1,0,0,204,0,2,32
1979,209500,2,1,3,2,54,0,1,1,0,222,0,0,46
1967,360000,2,1,2,4,81,1,1,1,0,176,1,1,42
1940,375000,4,2,2,4,105,1,1,1,0,83,3,1,40
1982,328500,1,1,1,1,44,1,1,1,0,386,1,0,14
1989,390000,3,2,2,4,36,1,0,0,1,169,0,1,16
1940,247400,1,1,1,1,66,1,1,0,0,425,0,0,5
2017,320000,2,3,1,3,38,1,1,1,0,159,1,1,41
2007,220000,2,2,1,3,87,1,0,1,0,151,1,1,28
1964,399900,3,2,2,3,41,1,1,0,1,281,0,1,15
1900,71500,1,1,3,4,45,0,0,0,1,46,0,2,23
1930,220000,2,1,1,4,71,0,1,1,1,141,0,1,0
1920,670000,3,1,1,8,52,0,1,1,1,226,0,1,6
1991,410500,2,2,1,3,54,0,0,0,0,313,2,1,54
1900,230000,3,1,3,3,37,1,0,0,1,88,0,2,23
2017,737000,5,3,2,5,62,1,1,1,1,188,0,1,32
1976,190000,3,2,2,3,-4,0,0,1,0,71,0,1,34
2022,323000,3,2,2,3,-13,1,0,1,0,152,1,0,28
1972,295000,2,1,2,2,82,0,0,0,0,283,0,0,7
2009,340000,3,1,2,6,125,1,1,0,0,165,0,1,25
2016,275000,2,1,1,3,30,0,1,0,0,184,1,1,19
2009,490000,3,2,1,3,41,1,1,1,0,194,1,1,58
1990,284500,2,2,2,3,37,1,1,1,1,174,2,0,36
2005,200000,3,1,2,3,89,1,1,0,1,130,0,2,5
1966,350000,2,1,2,3,26,0,0,1,0,118,2,1,19
2019,800000,3,1,2,3,99,1,1,1,0,407,1,1,16
1984,217000,3,1,2,2,70,1,0,0,1,159,0,2,16
2000,1000000,2,1,1,3,44,0,1,1,1,293,7,1,19
1996,415000,3,2,2,4,74,1,0,1,0,212,0,1,49
1937,325000,2,1,1,3,194,1,0,1,0,224,1,1,22
1950,127000,1,1,1,2,44,1,0,1,0,26,0,1,28
2006,331500,3,2,2,3,36,0,1,0,1,153,0,1,37
1976,229900,1,1,1,2,159,1,1,0,0,201,4,0,36
2015,405000,2,2,1,3,119,1,0,0,0,225,0,1,16
1979,225000,2,1,2,2,63,1,0,1,1,170,0,2,32
1971,375000,2,2,1,3,36,0,0,1,0,355,0,1,7
1978,258000,2,1,1,4,126,0,0,1,0,105,0,1,34
2000,436000,3,2,1,2,126,0,0,1,0,307,1,2,47
1976,135000,1,1,1,2,25,1,1,0,0,187,0,2,32
1994,284500,2,1,1,4,48,1,1,1,0,133,2,1,40
1978,235000,1,1,1,2,81,1,1,0,0,182,4,0,36
1997,194628,2,2,1,3,30,1,1,0,0,159,0,1,58
